price_sq,panel,brick,LAF,presoc,soc,postsoc,center,mid,suburban,rural,kinder_garden,metro_station,rooms
1504.705882,1,0,0,0,1,0,0,0,1,0,1,0,3
1830.769231,1,0,0,0,1,0,0,1,0,0,1,0,2
2500,0,1,0,0,1,0,1,0,0,0,1,0,2
1791.139241,0,1,0,0,0,1,0,0,0,1,1,0,2
2281.050228,0,1,0,1,0,0,1,0,0,0,1,1,4
1550,0,1,0,0,0,1,0,1,0,0,1,1,3
1720.8,0,1,0,0,0,1,0,0,1,0,1,1,3
1850,0,1,0,0,0,1,1,0,0,0,1,1,2
1703.703704,0,1,0,0,0,1,0,0,1,0,1,1,3
1442.307692,0,1,0,0,0,1,0,0,1,0,1,1,2
1666.666667,0,0,1,0,1,0,0,0,1,0,1,1,2
2112.4875,0,1,0,0,0,1,0,1,0,0,1,1,2
1349.991802,0,1,0,0,0,1,0,0,1,0,1,1,2
1405.405405,0,0,1,0,1,0,0,1,0,0,1,1,2
1908.985294,0,1,0,0,0,1,0,1,0,0,1,1,2
1451.612903,1,0,0,0,1,0,0,0,1,0,1,1,3
1477.677966,0,1,0,0,0,1,0,0,1,0,1,1,2
3332.098765,0,1,0,0,1,0,0,1,0,0,1,1,3
1345.922414,0,1,0,0,0,1,0,1,0,0,1,1,3
2757.009346,0,1,0,0,0,1,0,1,0,0,1,1,3
3147.368421,0,0,1,0,0,1,0,1,0,0,1,1,3
2518.518519,0,1,0,0,0,1,0,0,1,0,0,0,1
2184.87395,0,1,0,0,0,1,0,0,1,0,0,0,3
1649.122807,1,0,0,0,0,1,0,1,0,0,0,0,2
2186.046512,1,0,0,0,1,0,0,1,0,0,0,0,3
3000,1,0,0,0,1,0,0,0,1,0,0,0,3
1319.444444,0,1,0,0,1,0,0,0,1,0,0,1,2
2326.865672,0,1,0,0,0,1,0,0,1,0,0,1,2
1898.734177,0,1,0,0,0,1,0,0,1,0,0,1,3
2321.428571,1,0,0,0,1,0,0,1,0,0,0,1,2
1896.946565,0,1,0,0,0,1,0,0,1,0,0,1,3
2100,1,0,0,0,1,0,0,0,1,0,0,1,2
1741.554348,0,1,0,0,0,1,0,0,1,0,0,1,3
1733.333333,0,1,0,0,0,1,0,0,1,0,0,1,1
1643.478261,0,1,0,0,0,1,0,0,1,0,0,1,3
1833.333333,1,0,0,0,1,0,0,1,0,0,0,1,3
2050,0,0,1,0,1,0,1,0,0,0,0,1,3
1607.142857,1,0,0,0,1,0,0,1,0,0,1,1,2
2467.532468,0,1,0,0,0,1,0,0,1,0,1,1,3
2847.826087,0,1,0,0,0,1,0,1,0,0,1,1,3
1374.251497,0,1,0,0,0,1,0,0,0,1,1,1,4
2777.777778,0,1,0,1,0,0,1,0,0,0,1,1,3
2284.482759,0,1,0,0,1,0,0,1,0,0,1,1,3
1928.571429,0,1,0,0,0,1,0,1,0,0,1,1,3
1984.615385,0,1,0,0,1,0,1,0,0,0,1,1,2
1230.769231,1,0,0,0,1,0,0,1,0,0,1,1,2
1283.018868,0,1,0,0,0,1,0,0,1,0,1,1,3
778.3905579,0,1,0,0,0,1,0,0,1,0,0,0,4
1697.770642,0,1,0,0,0,1,0,0,1,0,0,0,3
1481.818182,0,1,0,0,0,1,0,0,1,0,0,0,3
1761.904762,0,1,0,0,0,1,0,0,1,0,0,0,3
1767.44186,0,1,0,0,0,1,0,0,0,1,0,0,1
1692.307692,0,1,0,0,0,1,0,0,1,0,0,0,2
1885.365854,0,1,0,0,0,1,0,0,1,0,0,0,3
