location,title,rooms,m2,build_material,year,page,kinder_garden,metro_station,price_eur
Lulin 4,Prodava tristaen apartament,3,85,Panel,1979.0,1,1,0,127900
Svoboda,Sobstvenik prodava apartament sled osnoven remont.,2,65,Panel,1985.0,1,1,0,119000
Zona B5,Dvustaen - Zona B-5,2,50,Tuhla,1970.0,1,1,0,125000
v.z.Simeonovo - Dragalevzi,Dvustaen apartament v butikova sgrada v kv. Simeonovo. V stroej! Ot PORTFOLIO BP,2,79,Tuhla,2024.0,1,1,0,141500
Zent_r,"Mnogostaen apartament- Zent_r, gr. Sofia",4,219,Tuhla,1936.0,1,1,1,499550
Hadji Dimit_r,Tristaen apartament v nov kompleks do zent_ra na Sofia,3,108.62,Tuhla,2023.0,1,1,1,168361
Drujba 2,3 - staen v Drujba!!! Bez komisionna!!! Promozionalni zeni do kraa na godinata!!!,3,100,Tuhla,2024.0,1,1,1,172080
Zent_r,Dvustaen apartament v nova sgrada do L_vov most,2,76.78,Tuhla,2023.0,1,1,1,142043
Simeonovo,tristaen apartament s panorama Vitosa,3,135,Tuhla,2024.0,1,1,1,230000
Ovca Kupel,AKT 14! Dvustaen apartament v Ovca kupel,2,52,Tuhla,2023.0,1,1,1,75000
Lulin 1,"Dvustaen apartament, Lulin 1",2,57,EPK/PK,1984.0,1,1,1,95000
Belite Brezi,Dvustaen apartament Belite Brezi,2,80,Tuhla,2000.0,1,1,1,168999
Lulin 4,Dvustaen apartament v nova moderna sgrada v razvivas se rajon,2,60.99,Tuhla,2023.0,1,1,1,82336
Sveta Troiza,Dvustaen apartament v Sveta troiza,2,74,EPK/PK,1986.0,1,1,1,104000
Sveta Troiza,Investitor prodava dvustajni apartamenti! Akt 14!,2,68,Tuhla,2022.0,1,1,1,129811
Lulin 5,"Tristaen apartament- kv. Lulin 5, gr. Sofia",3,93,Panel,1980.0,1,1,1,135000
Drujba 2,Bez komisionna ot kupuvaca!!! Promozionalni zeni do kraa na godinata!!!,2,59,Tuhla,2025.0,1,1,1,87183
Avorov,"Prodava 3-staen v kv. Avorov, Sofia",3,81,Tuhla,1965.0,1,1,1,269900
Vr_bniza 2,BEZ KOMISION OT KUPUVACA - tristaen apartament Vr_bniza 2,3,116,Tuhla,2024.0,1,1,1,156127
Geo Milev,Tristaen apartament s parkomasto do park Geo Milev,3,107,Tuhla,2007.0,1,1,1,295000
Lozenez,Tristaen apartament v kv. Lozenez,3,95,EPK/PK,1997.0,1,1,1,299000
Simeonovo,"Luksozno obzaveden ednostaen apartament v kv. Simeonovo
 Simeonovo, Sofia",0,54,Tuhla,2022.0,2,0,0,136000
Sofia,"Obzaveden parteren tristaen apartament s golama zimna gradina do park Geo Milev za prodajba
Sofia",3,94,Tuhla,2017.0,2,0,0,255000
Mladost 1,"Obzaveden tristaen v kv. Mladost 1
Mladost 1, Sofia",3,119,Tuhla,2008.0,2,0,0,260000
B_kston,"Apartament 114 kv.m samo na 70 metra ot moreto
B_kston, Sofia",2,114,Panel,2008.0,2,0,0,188000
