location,distance_to_center
7-mi 11-ti kilomet_r,7.9
Avorov,3.4
B_kston,6
Banisora,2.3
Belite Brezi,5.2
Benkovski,0.6
Boana,10.1
Borovo,5.9
Botunez,18.1
Bul. Stambolijski,2.2
D_rveniza,7.3
Dianabad,6.2
Dragalevzi,11.1
Drujba 1,8.5
Drujba 2,9.6
Fakulteta,5.4
Fondovi Jilisa,3.4
G_rdova glava,8.3
Geo Milev,4.3
German,2.7
Gevgelijski,3.7
Gorna Bana,10.4
Gorublane,10.5
Goze Delcev,6.9
Hadji Dimit_r,3.4
Hipodruma,4.1
Hladilnika,7.1
Ilinden,4.5
Ivan Vazov,3.2
Izgrev,5.2
Iztok,5.6
Karpuziza,8.3
Knajevo,9.9
Kr_stova Vada,8.4
Krasna Polana,4.2
Krasno Selo,4.5
Lagera,3.3
Letise Sofia,11.6
Levski,7.3
Levski G,7.3
Levski V,1.4
Lozenez,4.9
Lulin 1,7.4
Lulin 10,5.6
Lulin 2,7.3
Lulin 3,7
Lulin 4,8.1
Lulin 5,7.4
Lulin 6,6.3
Lulin 7,5.2
Lulin 8,6.2
Lulin 9,5.9
Lulin Zent_r,6.2
m. G_rdova glava,8.3
Malinova Dolina,10.6
Manastirski Livadi,7.2
Medizinska akademia,2.6
Mladost 1,7.8
Mladost 1a,8.7
Mladost 2,9.8
Mladost 3,9.7
Mladost 4,11.1
Moderno Predgradie,5.3
m-t G_rdova glava,8.3
Musageniza,7
Nadejda 1,4.5
Nadejda 2,5
Nadejda 3,6
Nadejda 4,7
Obela,9.4
Obela 1,8.1
Obela 2,7.7
obl. Sofia,17.3
Oborise,1.7
Orlandovzi,5.5
Ovca Kupel,9.4
Ovca Kupel 1,6.9
Ovca Kupel 2,9.8
Pavlovo,7.2
Poduane,3
Poligona,6.2
Razsadnika,3
Reduta,5.1
s. Kladniza,34.4
s. Vladaa,14.4
s.Pancarevo,15.3
Serdika,4.5
Simeonovo,11.5
Slatina,4.9
Slavia,5.3
SPZ Slatina,7.1
Strelbise,3.5
Studentski Grad,7.2
Suhata reka,5.3
Suhodol,8.7
Sveta Troiza,3.8
Svetovracene,12.5
Svoboda,5.8
Tolstoj,4.3
Tri_g_lnika,3.9
v.z.Bunkera,14.2
v.z.Kinozent_ra,12.3
v.z.Malinova dolina,12.3
v.z.Simeonovo - Dragalevzi,12.7
v.z.Vrana - Lozen,14.7
Vitosa,13.4
Voenna Rampa,4.3
Vr_bniza 1,5.9
Vr_bniza 2,6
Vrajdebna,8.9
Zaharna Fabrika,4.1
Zapaden Park,6.6
Zarigradsko sose,8.5
Zent_r,0.6
Zona B18,2.8
Zona B19,2.3
Zona B5,1.6
