region,area,population,coordinates,distance_from_center
Vitosa,s. Vladaa,3455.0,"[42.634631, 23.202339]",12.021064487957833
Pancarevo,s. Dolni Lozen,2313.0,"[42.608911, 23.497025]",17.40563376053453
Isk_r,"s. Krivina, m. Livadeto",0.0,"[42.690603, 23.452831]",10.742171657105915
Kremikovzi,m. Bogrovski pesozi,0.0,"[42.710647, 23.453199]",10.837441083850518
Lozenez,kv. Vitosa - Lozenez,4132.0,"[42.657052, 23.336436]",4.677093594832827
Studentska,m. Vitosa - VEZ Simeonovo,2981.0,"[42.643231, 23.337539]",6.193214855984973
Kremikovzi,"Benkovski, m. Mogilata",0.0,"[42.734552, 23.377044]",6.098988655568306
Novi Isk_r,m. Branisko loze,0.0,"[42.835896, 23.371392]",15.891680293878633
Vitosa,"s. Vladaa, m. Kraise",0.0,"[42.637288, 23.170854]",14.047646521340003
Banka,"s. Ivanane, m. Bivolarnik",4.0,"[42.710669, 23.175609]",12.028037583933031
Banka,"gr. Banka, m. M_rtvako",0.0,"[42.696529, 23.102142]",17.947073665958182
Pancarevo,"kv. D. Lozen, m. Barite",0.0,"[42.636613, 23.534315]",18.66042101508539
Triadiza,NDK - plosad B_lgaria,189.0,"[42.681843, 23.316735]",1.8105926648181738
Krasno selo,ZGC Zona B5-A,1942.0,"[42.696709, 23.315255]",0.5418756725918992
Isk_r,j.k. Drujba 2 - zapad,43862.0,"[42.654495, 23.400975]",8.064475038649753
Sredez,ZGC Zona G12 - ug,1714.0,"[42.692527, 23.344436]",1.9416422901882415
Kremikovzi,s. Botunez,4251.0,"[42.743562, 23.512853]",16.423488650683193
Novi Isk_r,"s. Cepinzi, m. Merata",0.0,"[42.741492, 23.409348]",8.655762076970653
Lulin,kv. Lulin - razsirenie - zapad,1119.0,"[42.733435, 23.250445]",7.051110517602088
Sredez / Oborise,ZGC Zona A - sever,360.0,"[42.696255, 23.330108]",0.7021030617185076
Ovca Kupel,"s. Ivanane, m. Tatare",0.0,"[42.695087, 23.177334]",11.80544227920339
Novi Isk_r,v.z. Koria,0.0,"[42.833708, 23.409206]",16.72354426696379
