location,title,price_eur,rooms,m2,build_material,year,page,kinder_garden,metro_station
Lulin 4,Prodava tristaen apartament,127900EUR,3,85,Panel,1979,1,1,0
Svoboda,Sobstvenik prodava apartament sled osnoven remont.,119000EUR,2,65,Panel,1985,1,1,0
Zona B5,Dvustaen - Zona B-5,125000EUR,2,50,Tuhla,1970,1,1,0
v.z.Simeonovo - Dragalevzi,Dvustaen apartament v butikova sgrada v kv. Simeonovo. V stroej! Ot PORTFOLIO BP,141500EUR,2,79,Tuhla,2024,1,1,0
Zent_r,"Mnogostaen apartament- Zent_r, gr. Sofia",499550EUR,4,219,Tuhla,1936,1,1,1
Malinova Dolina,Tristaen apartament №61 v OKINAWA Boutique Residence,215045EUR,3,162.4,Tuhla,n/a,1,1,1
Hadji Dimit_r,Tristaen apartament v nov kompleks do zent_ra na Sofia,168361EUR,3,108.62,Tuhla,2023,1,1,1
Drujba 2,3 - staen v Drujba!!! Bez komisionna!!! Promozionalni zeni do kraa na godinata!!!,172080EUR,3,100,Tuhla,2024,1,1,1
Zent_r,Dvustaen apartament v nova sgrada do L_vov most,142043EUR,2,76.78,Tuhla,2023,1,1,1
Simeonovo,tristaen apartament s panorama Vitosa,230000EUR,3,135,Tuhla,2024,1,1,1
Ovca Kupel,AKT 14! Dvustaen apartament v Ovca kupel,75000EUR,2,52,Tuhla,2023,1,1,1
Lulin 1,"Dvustaen apartament, Lulin 1",95000EUR,2,57,EPK/PK,1984,1,1,1
Belite Brezi,Dvustaen apartament Belite Brezi,168999EUR,2,80,Tuhla,2000,1,1,1
Lulin 4,Tristaen apartament v sgrada HD&M Residence v kv. ”Lulin 4”,108900EUR,3,87.12,Tuhla,n/a,1,1,1
Lulin 4,Dvustaen apartament v nova moderna sgrada v razvivas se rajon,82336EUR,2,60.99,Tuhla,2023,1,1,1
Sveta Troiza,Dvustaen apartament v Sveta troiza,104000EUR,2,74,EPK/PK,1986,1,1,1
Sveta Troiza,Investitor prodava dvustajni apartamenti! Akt 14!,129811EUR,2,68,Tuhla,2022,1,1,1
Lulin 5,"Tristaen apartament- kv. Lulin 5, gr. Sofia",135000EUR,3,93,Panel,1980,1,1,1
Drujba 2,Bez komisionna ot kupuvaca!!! Promozionalni zeni do kraa na godinata!!!,87183EUR,2,59,Tuhla,2025,1,1,1
Avorov,"Prodava 3-staen v kv. Avorov, Sofia",269900EUR,3,81,Tuhla,1965,1,1,1
Vr_bniza 2,BEZ KOMISION OT KUPUVACA - tristaen apartament Vr_bniza 2,156127EUR,3,116,Tuhla,2024,1,1,1
Boana,Dvustaen apartament za prodajba v rezidenzia Berlin Park Boyana,215960EUR,2,107.98,Tuhla,n/a,1,1,1
Geo Milev,Tristaen apartament s parkomasto do park Geo Milev,295000EUR,3,107,Tuhla,2007,1,1,1
Lulin 5,Tristaen apartament A-41 v kompleks Atlantis Barcode,137000EUR,3,97.93,Tuhla,n/a,1,1,1
Malinova Dolina,Komforten dvustaen apartament №7 v OKINAWA Boutique Residence,110732EUR,2,75.93,Tuhla,n/a,1,1,1
Kr_stova Vada,Dvustaen apartament v moderen kompleks v kv. ”Kr_stova vada”,133980EUR,2,72.42,Tuhla,n/a,1,1,1
Kr_stova Vada,Dvustaen apartament v sgrada ASTRIS do ul. ”Flora K_neva”,164735EUR,2,70.1,Tuhla,n/a,1,1,1
Kr_stova Vada,"Tristaen apartament v sgrada ASTRIS, do ul. ”Flora K_neva”",230483EUR,3,100.21,Tuhla,n/a,1,1,1
Lozenez,Tristaen apartament v kv. Lozenez,299000EUR,3,95,EPK/PK,1997,1,1,1
Simeonovo,"Luksozno obzaveden ednostaen apartament v kv. Simeonovo
 Simeonovo, Sofia",136000EUR,0,54,Tuhla,2022,2,0,0
Sofia,"Obzaveden parteren tristaen apartament s golama zimna gradina do park Geo Milev za prodajba
Sofia",255000EUR,3,94,Tuhla,2017,2,0,0
Nadejda 3,"Prodajba 1-staen gr. Sofia - Nadejda 3 42m²
Nadejda 3, Sofia",77700EUR,0,42,Panel,n/a,2,0,0
Mladost 1,"Obzaveden tristaen v kv. Mladost 1
Mladost 1, Sofia",260000EUR,3,119,Tuhla,2008,2,0,0
B_kston,"Apartament 114 kv.m samo na 70 metra ot moreto
B_kston, Sofia",188000EUR,2,114,Panel,2008,2,0,0
Ilinden,"Prodavam apartament
 Ilinden, Sofia",188000EUR,3,86,Panel,1982,2,0,0
Boana,"Tristaen apartament za prodajba v rezidenzia Berlin Park Boyana
 Boana, Sofia",294980EUR,3,147.49,Tuhla,n/a,2,0,0
Boana,"Mnogostaen apartament za prodajba v rezidenzia Berlin Park Boyana
 Boana, Sofia",502020EUR,4,251.01,Tuhla,n/a,2,0,0
Mladost 4,"Prodava 3-staen, kv. Mladost 4
Mladost 4, Sofia",195000EUR,3,65,Panel,1980,2,0,0
Gorna Bana,"Dvustaen apartament 72 kv.m Tuhla 3 etaj
Gorna Bana, Sofia",95000EUR,2,72,Tuhla,1980,2,0,1
D_rveniza,"Prodava dvustaen apartament v gr. Sofia, kv. D_rveniza, 155 900 EUR
 D_rveniza, Sofia",155900EUR,2,67,Tuhla,2023,2,0,1
Malinova Dolina,"Tristaen apartament s parkomasto v zenata kv. Malinova dolina
Malinova Dolina, Sofia",150000EUR,3,79,Tuhla,2023,2,0,1
Sveta Troiza,"Prodava se 2-en v j.k. Sveta Troiza
Sveta Troiza, Sofia",130000EUR,2,56,Panel,1973,2,0,1
Kr_stova Vada,"Tristaen apartament v butikova sgrada do MOL Paradajz i Ujnia park
Kr_stova Vada, Sofia",248500EUR,3,131,Tuhla,2024,2,0,1
Obela 2,"2-staen Obela-2, sled remont, 52kv.m, et.1, panel, ZENA:109 200 evro
Obela 2, Sofia",109200EUR,2,52,Panel,1987,2,0,1
Malinova Dolina,"Tristaen apartament v kv. Malinova Dolina
Malinova Dolina, Sofia",160223EUR,3,92,Tuhla,2024,2,0,1
Ovca Kupel,"Prodavam EDNOSTAEN apartament
Ovca Kupel, Sofia",52000EUR,0,30,Tuhla,2024,2,0,1
Dianabad,"Tristaen apartament do hotel Vega v Dianabad/Studentski grad
Dianabad, Sofia",189000EUR,3,115,Tuhla,2023,2,0,1
Vr_bniza 1,"Prodava tristaen apartament- j.k. Nadejda 3
Vr_bniza 1, Sofia",165000EUR,3,90,Panel,1987,2,0,1
Zona B5,"TOP oferta tristaen apartament
 Zona B5, Sofia",205000EUR,3,100,EPK/PK,1986,2,0,1
Tolstoj,"Prodajba na imot
Tolstoj, Sofia",90000EUR,2,56,Panel,1970,2,1,1
Mladost 2,"Tristaen apartament v j.k. Mladost 2
Mladost 2, Sofia",190000EUR,3,77,Tuhla,2018,2,1,1
Strelbise,"Tristaen apartament v kv. Strelbise
Strelbise, Sofia",327500EUR,3,115,Tuhla,2012,2,1,1
